Title,Link,Description,Tags
Employees' Pension Scheme,https://www.myscheme.gov.in/schemes/eps,"The scheme ensures retirement security for employees covered under the EPF Act, offering monthly pensions, family pensions, and withdrawal benefits. It targets workers in organised sectors, providing financial support post-retirement, during disability, or to dependents after the member’s death.","Employment, Pension, Retirement, Senior Citizen, EPFO"
Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students,https://www.myscheme.gov.in/schemes/fafps,Welfare scheme of Department For The Welfare Of SC/ST/OBC’s/Minorities to provide help for purchase of stationery to SC/ST/OBC/Minorities Students of 1st to 12th class studying Govt. of India/GNCT of Delhi/Aided Recognized schools.,"Financial Assistance, Scheduled Caste, Scheduled Tribe, Other Backward Classes, Minorities, Purchase Of Stationery, Students"
Handloom Rebate Scheme,https://www.myscheme.gov.in/schemes/hrs-g2,The scheme provides 10% special rebate for 120 festival days; Additional 5-15% permanent rebates for regular sales; Enhanced 20% rebates for women-led cooperatives. The scheme aims to enhance market competitiveness for Gujarat's handloom cooperatives and apex societies.,"Handloom, Rebate, Festival, Artisan, Women"
Garima Greh Shelter Homes For Transgender Persons,https://www.myscheme.gov.in/schemes/smile,"Garima Greh aims to provide shelter to Destitute & abandoned Transgender persons with basic amenities like shelter, food, medical care and recreational facilities.","Transgender, Shelter Home, Accomodation, Rehabilitation"
Gharaunda-Group Home for Adults Scheme,https://www.myscheme.gov.in/schemes/gghas,Gharaunda (Group Home for Adults) scheme aims at setting up Gharaunda Centres or Registered Organisations (RO) for for all Adult PwDs covered under the National Trust Act with adequate and quality care service with acceptable living standards including provision of basic medical care from profession,"Person With Disability, Respite And Residential Care, Group Home, Life Long Shelter, Abandoned"
Indira Gandhi National Disability Pension Scheme,https://www.myscheme.gov.in/schemes/igndps,A non-contributory pension scheme to provide social security to Divyangjans aged 18 and above who belong to a poor family (BPL) in society.,"Differently Abled, Pension, Below Poverty Line - BPL"
Indira Gandhi National Disability Pension Scheme- Chhattisgarh,https://www.myscheme.gov.in/schemes/igndpschh,"Under this scheme, a monthly pension of ₹500/- is provided to severely disabled (with a disability of 80% and above) and multi-disabled individuals aged 18 to 79 years who are living below the poverty line (BPL) to support them in living a respectful life.","Indira Gandhi, Disability, Pension, BPL, PWD"
Indira Gandhi National Old Age Pension Scheme- Chhattisgarh,https://www.myscheme.gov.in/schemes/ignoapsch,"Under this scheme, financial assistance is provided to elderly people aged 60 years and above living Below the Poverty Line (BPL) to support them in living a respectful life.","Indira Gandhi, Old Age, Pension, Senior Citizen, BPL"
Indira Gandhi National Widow Pension Scheme,https://www.myscheme.gov.in/schemes/ignwps,A non-contributory pension scheme to provide social security to widows of poor family (BPL)  of the society.,"Widow, Pension, Below Poverty Line - BPL"
Financial Assistance to Destitute Elderly and Disabled Person,https://www.myscheme.gov.in/schemes/fadedp,"The scheme ""Financial Assistance to Destitute Elderly and Disabled Person"" provides monthly financial aid to elderly individuals (60+) and severely disabled persons who meet specific income and dependency criteria.","Elderly Pension, Senior Citizen, Disabled Person, Social Welfare"
Financial Assistance to Helpless Artists,https://www.myscheme.gov.in/schemes/fatha,"Under this scheme, monthly financial assistance is given to artists and their dependents who are physically disabled, over 60 years old, have a monthly income of less than ₹600, and are unable to sustain themselves due to age or disability.","Financial Assistance, Senior Citizen, Artist, Physically Disabled, PwD"
