Title,Link,Description,Tags
"Coaching Assistance for Pre-preparation for Competitive Exams of ALL INDIA level like IIM, CEPT, NIFT, NLU and IELTS, TOFEL, GRE for going Foreign",https://www.myscheme.gov.in/schemes/capceailf,"The scheme aims to assist SEBC and economically backward students in coaching for premier Indian and international exams, the eligible candidates receive up to ₹20,000/- or the actual fee paid.","Financial Assistance, Student, Foreign, Competitive Exam"
"Coaching Sahay for the Preparation of NEET, JEE, GUJCET Examination to both Socially and Educationally Backward Class Trainees/Students and Female Students and Economically Backward Class Students",https://www.myscheme.gov.in/schemes/cspnjgesebcebc,"The scheme aims to support Socially and Educationally Backward Class (SEBC) and Economically Backward Class (EBC) students with coaching fee assistance. Up to ₹20,000 or actual fee is provided for one exam preparation.","Financial Assistance, Coaching, Student, Competitive Exam, NEET, JEE, GUJCET"
Combined Merit Scholarship,https://www.myscheme.gov.in/schemes/cms-g,The scheme aims to provide merit-based scholarship to students of Assam studying in first semester degree and master degree courses in recognized institutions. It benefits academically meritorious students who have obtained at least 60% marks in their last qualifying examination.,"Student, Scholarship, Merit, Education, Degree, Academic"
Exposure Visits To The Assam Legislative Assembly,https://www.myscheme.gov.in/schemes/evtala,The Exposure Visits to the Assam Legislative Assembly scheme was introduced in the budget speech during the first Budget Session in July 2016. It aims to provide an opportunity for Political Science students in Assam to visit and observe the functioning of the Assam Legislative Assembly.,"Assam Legislative Assembly, Student Visits, 10th, 12th, Learning"
Fellowship For Superannuated Faculty Members,https://www.myscheme.gov.in/schemes/ffsfm,"The ""Fellowship for Superannuated Faculty Members"" scheme is a fellowship scheme by the University Grants Commission (UGC), Department of Higher Education to provide opportunities to superannuated faculty members of Universities/Institutes/Colleges, hereinafter “Institutions” to pursue research.","Fellowship, Faculty"
Hari Om Ashram Prerit Senior Scientist Award,https://www.myscheme.gov.in/schemes/hoapssa,"The Hari Om Ashram Prerit Senior Scientist Award was established to commemorate the birth centenary of Pujya Shri Mota, the founder of the Hari Om Ashram, Nadiad. It is awarded to an eminent Indian scientist for their innovative and outstanding contributions to the field of Science and Technology.","Award, Scientist, Cash Prize"
Hari Om Ashram Prerit Doctor Vikram Sarabhai Research Award,https://www.myscheme.gov.in/schemes/hoapdvsra,"The Shri Hari Om Ashram Prerit Doctor Vikram Sarabhai Research Awards are biennial awards established with funds from Pujya Shri Mota of Hari Om Ashram, Nadiad, to recognize outstanding contributions by Indian scientists under the age of 45 in the fields of Space Sciences etc.","Award, Scientist, Research, Cash Prize"
Haryana Merit Cum Means Scheme For Minority,https://www.myscheme.gov.in/schemes/hmcms,"The scheme ""Merit Cum Means Based Scholarship"" by the Ministry of Minority Affairs, Government of India, provides financial assistance to meritorious students from minority communities in Haryana for pursuing professional and technical courses.","Merit Scholarship, Minority, Financial Assistance, Day Scholar, Hostellers, Professional Courses, Technical Courses"
Haryana Pre Matric Scholarship For Minority,https://www.myscheme.gov.in/schemes/hpmsm,"Launched in June 2006 under the Prime Minister's New 15 Point Programme for the Welfare of Minorities, the ""Pre-Matric Scholarship for Students Belonging to the Minority Communities"" is a Centrally Sponsored Scheme by the Ministry of Minority Affairs, Government of India.","Minority, Scholarship, Education, Student, Tuition Fees, Admission Fees, Allowance"
Haryana Post Matric Scholarship For Minority,https://www.myscheme.gov.in/schemes/hpms,"Launched in June 2006 under the Prime Minister's New 15 Point Programme for the Welfare of Minorities, the ""Post-Matric Scholarship for Students Belonging to the Minority Communities"" by the Ministry of Minority Affairs, Government of India, aims to provide better opportunities for higher education.","Tuition Fee, Under Graduate, Post Graduate, Monthly Allowance, M Phil, Ph D, Minority Cummunities"
