Title,Link,Description,Tags
Financial Assistance For Promotion Of Guru-Shishya Parampara (Repertory Grant),https://www.myscheme.gov.in/schemes/fapgsprg,"The scheme “Financial Assistance for Promotion of Guru-Shishya Parampara (Repertory Grant)” was launched by the Ministry of Culture, Government of India.","Guru, Shishya, Parampara, Financial Assistance, Grant, Theatre, Culture"
Financial Assistance to Helpless Artists,https://www.myscheme.gov.in/schemes/fatha,"Under this scheme, monthly financial assistance is given to artists and their dependents who are physically disabled, over 60 years old, have a monthly income of less than ₹600, and are unable to sustain themselves due to age or disability.","Financial Assistance, Senior Citizen, Artist, Physically Disabled, PwD"
Financial Assistance To Cultural Organizations With National Presence,https://www.myscheme.gov.in/schemes/faconp,"The scheme “Financial Assistance to Cultural Organizations with National Presence” was launched by the Ministry of Culture, Government of India.","Cultural Organization, National Presence, Financial Assistance, Grant"
"Financial Assistance for Preparation of Training Camp and Participation in Land, Mountain & Sea Adventure Sports Competitions",https://www.myscheme.gov.in/schemes/faptlmsc,"The scheme aims to promote youth participation in adventure sports by providing financial assistance for training, workshops, and competitions.","Adventure Sports, Financial Assistance, Youth Empowerment, Training Camps"
Free Education For Sports Medal Winners / Participants Of National/ International Events,https://www.myscheme.gov.in/schemes/fesmwpnie,"The scheme of ""Free Education for Sports Medal Winners / Participants of National/ International Events"" is introduced by UGC, to provide financial assistance to the medal winners\ elite sports persons studying in universities/colleges leading to all the full-time regular courses.","Sports, Education"
Tagore National Fellowship for Cultural Research,https://www.myscheme.gov.in/schemes/tnfcr,"The Scheme has been introduced to invigorate and revitalize the various institutions under the Ministry of Culture and other identified cultural institutions in the country, by encouraging Fellows/academicians to affiliate themselves with these institutions to work on projects of mutual interest.","Tagore, Fellowship, Research, Cultural, Fellow"
Tagore National Scholarship for Cultural Research,https://www.myscheme.gov.in/schemes/tnscr,"The Scheme has been introduced to invigorate and revitalize the various institutions under the Ministry of Culture and other identified cultural institutions in the country, by encouraging Scholars/academicians to affiliate themselves with these institutions to work on projects of mutual interest.","Tagore, Scholarship, Cultural Research, Culture, Scholar"
Scheme for Providing Incentives to Coaches of Athletes who have Won Competitions at the National and International Levels,https://www.myscheme.gov.in/schemes/tspicacnil,"The scheme aims to honour coaches who have significantly contributed to the success of athletes in the field of sports. Under this scheme, financial incentives are provided to coaches of athletes who have won competitions at national and international levels.","Incentive, Coach, Athlete, Sports"
Scheme of Financial Assistance to Literary/Educational Institutions for Organizing Programs/Conferences,https://www.myscheme.gov.in/schemes/sfaleopc,"The scheme aims to encourage intellectual and cultural activities by providing financial support to institutions conducting seminars, workshops, symposiums, and literary programs.","Educational Conferences, Seminar, Sahitya Sammelan, Cultural Events"
Scheme to Provide Financial Assistance for the Production and Publication of Excellent Original Children's Literature,https://www.myscheme.gov.in/schemes/stpfapcl,"The scheme aims to promote high-quality literary works for children by providing financial support to Gujarati authors for publishing original, unpublished children's books that contribute to cultural and moral development.","Child Literature, Kids Books, Book Publishing Aid"
Scheme to Provide Monthly Financial Assistance to Elderly and Eligible Writers,https://www.myscheme.gov.in/schemes/spmfaeew,The scheme aims to support senior writers facing financial hardship by offering monthly assistance to those who have made notable contributions to Gujarati or associated language literature.,"Elderly Writer, Literary Welfare, Assistance For Author"
Trekking in Forest Area (Scheduled Tribes),https://www.myscheme.gov.in/schemes/tifast,"The scheme ""Trekking in Forest Area (Scheduled Tribes)"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to promote love and awareness for nature among youth by organizing trekking programs in forest areas for selected Scheduled Tribes young men and women.","Trekking, Forest Awareness, Wildlife Exposure, Eco Tourism, Scheduled Tribe"
Assistance to Women for Trainer and Coaches Training Course,https://www.myscheme.gov.in/schemes/atwtctc,"The scheme “Assistance to Women for Trainer and Coaches Training Course” by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to encourage women's participation in sports by providing financial assistance for diploma courses in sports education.","Women Coaches, Girls, Sports"
Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area,https://www.myscheme.gov.in/schemes/attisca,"The scheme ""Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area"" aims to promote cultural infrastructure through financial assistance to trusts and institutions for building or renovating cultural centres within municipal areas.","Cultural Infrastructure, Auditorium Construction, Cultural Centre Renovation"
Divisional Tripartite Competition,https://www.myscheme.gov.in/schemes/dtc,The scheme aims to promote theatrical arts and drama performances across Gujarat by organizing competitive events at divisional and state levels. Individual performers and theatre organizations receive cash prizes based on their performance rankings in state-level competitions.,"Drama, Competition, Artist, Theatre, Culture, Award"
Basic Rock Climbing Training for Tribal and Scheduled Caste Youth,https://www.myscheme.gov.in/schemes/rcbttscy,"Under this scheme, a basic rock climbing training program is organized for 100 youth with the aim of improving physical capacity, fostering an adventurous spirit, and bringing out the latent potential of youth belonging to Scheduled Castes and Scheduled Tribes.","Youth, Scheduled Tribe, Scheduled Caste, Rock Climbing, Adventure Course"
Best Book Award,https://www.myscheme.gov.in/schemes/bba,"The scheme ""Best Book Award"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to promote literary excellence by providing cash awards, certificates, and shields to authors of outstanding books published in Gujarat.","Book Prize, Literature Awards, Cultural Promotion"
Personality Development and Yogasan Training Camp for Schedule Caste,https://www.myscheme.gov.in/schemes/pdytcsc,"The scheme ""Personality Development and Yogasan Training Camp for Schedule Caste Youth"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to promote the physical, mental, and spiritual development of Scheduled Caste youth through 7-day training camps.","Youth Development, Yoga Training, Personality Development, Physical Fitness"
